Name;Role;Tier;Score;Trend;Win %;Pick %;Ban %;KDA
Aatrox;TOP;A;58.25;6.52;49.97%;4.43%;2.03%;1.97
Ahri;MID;A;53.21;-0.24;49.93%;4.62%;1.04%;2.56
Akali;MID;S;65.3;6.51;48.59%;8.16%;12.88%;2.34
Akali;TOP;A;57.87;3.34;48.57%;4.24%;12.88%;2.04
Akshan;MID;S;59.85;0.65;51.46%;4.83%;21.91%;2.23
Akshan;TOP;A;55.89;-0.46;51.58%;2.71%;21.91%;1.97
Alistar;SUPPORT;B;46.08;-2.74;49.92%;3.65%;0.84%;2.51
Amumu;JUNGLE;B;45.69;1.72;50.27%;3.13%;1.51%;2.62
Amumu;SUPPORT;C;35.88;2.55;50.09%;0.44%;1.64%;2.05
Anivia;MID;A;53.38;-1.26;51.97%;3.32%;3.03%;2.66
Anivia;SUPPORT;D;31.74;-1.46;47.66%;0.44%;3.03%;2.18
Annie;MID;A;48.81;6.23;52.45%;2.17%;0.71%;2.39
Aphelios;ADC;C;35.96;-1.67;47.36%;5.79%;1.46%;2.03
Ashe;ADC;B;43.08;-9.95;49.66%;6.03%;1.11%;2.32
Aurelion Sol;MID;B;42.15;-2.74;50.81%;0.89%;0.25%;2.55
Azir;MID;D;32.69;2.09;46.67%;1.12%;0.21%;2.1
Bard;SUPPORT;A;49.81;2.27;50.23%;4.05%;1.00%;2.97
Blitzcrank;SUPPORT;S;67.8;-0.81;51.87%;8.61%;18.23%;2.44
Brand;SUPPORT;B;45.21;-4.17;49.18%;4.68%;5.87%;1.77
Brand;MID;B;41.21;1.44;51.68%;0.82%;6.43%;2.04
Braum;SUPPORT;A;46.74;2.77;50.73%;2.87%;0.39%;2.79
Caitlyn;ADC;God;88.48;-0.16;50.09%;21.30%;18.96%;2.31
Camille;TOP;God;84.61;9.6;50.20%;7.17%;7.54%;1.99
Cassiopeia;MID;B;44.08;-2.0;50.30%;2.43%;1.36%;2.09
Cassiopeia;TOP;D;26.2;-7.91;49.47%;0.68%;1.36%;1.83
Cho'Gath;TOP;A;52.76;2.64;52.82%;2.59%;0.95%;2.2
Cho'Gath;MID;C;37.75;-4.65;49.57%;0.55%;0.95%;2.37
Corki;MID;A;58.2;0.29;49.38%;6.79%;3.91%;2.17
Darius;TOP;God;83.96;16.49;50.37%;6.58%;15.17%;1.87
Diana;JUNGLE;God;82.96;44.71;51.46%;12.19%;12.81%;2.49
Diana;MID;A;49.05;4.03;52.62%;2.17%;12.81%;2.2
Dr. Mundo;TOP;S;62.73;-2.08;51.76%;4.06%;2.97%;2.26
Draven;ADC;B;46.38;-4.53;50.52%;6.30%;12.39%;2.16
Ekko;JUNGLE;A;55.93;-1.56;49.91%;6.16%;4.09%;2.74
Ekko;MID;A;46.78;0.91;49.67%;3.26%;4.09%;2.24
Elise;JUNGLE;B;40.59;-3.1;49.48%;2.22%;1.66%;2.56
Evelynn;JUNGLE;A;48.04;-1.54;49.64%;3.46%;8.85%;2.94
